text,label
واجهة المنصة التجريبية واضحة وساعدتني على إكمال المهمة بسهولة,إيجابي
ظهرت نتيجة التحليل بسرعة وكانت خطوات المراجعة مرتبة,إيجابي
تنظيم الأدوات جيد والتعليمات المختصرة مفيدة للباحث,إيجابي
نجح رفع الملف الاصطناعي وظهرت الأعمدة كما توقعت,إيجابي
أعجبني الفصل الواضح بين الحساب الحتمي واقتراح الذكاء الاصطناعي,إيجابي
كان الانتقال من فحص البيانات إلى التحليل سلسًا في التجربة,إيجابي
عرض السياقات جعل مراجعة الكلمات المهمة أكثر سهولة,إيجابي
ساعدني ملخص الجودة على اكتشاف الخلايا الناقصة مبكرًا,إيجابي
بطاقات النتائج منظمة ويمكن قراءتها دون خبرة برمجية متقدمة,إيجابي
وفرت صفحة التقرير ترتيبًا مناسبًا للملاحظات البحثية,إيجابي
اكتملت التجربة كما هو متوقع لكن بعض الشروح تحتاج إلى اختصار,محايد
عرض البيانات مناسب بصورة عامة ويمكن تحسين ترتيب الحقول,محايد
استغرق فحص الملف وقتًا معتدلًا ولم أواجه مشكلة واضحة,محايد
كانت النتائج مفهومة مع حاجتي إلى مراجعة المصطلحات العلمية,محايد
أداة التكرار أدت المهمة الأساسية دون مزايا إضافية في هذه العينة,محايد
واجهة التقرير عملية لكنني فضلت العرض القياسي على العرض المرئي,محايد
التعليمات كافية للبدء وقد يحتاج المستخدم الجديد إلى مثال آخر,محايد
ظهرت الفئات الثلاث بصورة متوازنة ولم تكن هناك نتيجة مفاجئة,محايد
التنقل مقبول مع وجود خطوات يمكن دمجها في إصدار لاحق,محايد
تجربة دفتر Colab واضحة لكنها تتطلب إكمال العمل خارج المنصة,محايد
تعذر علي فهم رسالة الخطأ عند إدخال صف غير مكتمل,سلبي
كان زر المتابعة غير واضح في الشاشة الصغيرة أثناء الاختبار,سلبي
لم تظهر معاينة العمود المحدد بالطريقة التي توقعتها,سلبي
تكررت إحدى الخطوات واضطررت إلى العودة لتصحيح الاختيار,سلبي
احتاج تحميل صفحة النتائج وقتًا أطول من بقية صفحات التجربة,سلبي
كانت بعض العناوين طويلة وصعبت قراءة البطاقة على الهاتف,سلبي
لم أتمكن من تمييز الملاحظة البحثية عن الاقتراح الآلي بسرعة,سلبي
فقدت الإعداد التجريبي بعد تحديث الصفحة قبل حفظ المراجعة,سلبي
لم يوضح التنبيه سبب رفض الملف في المحاولة الأولى,سلبي
كانت مساحة حقل النص ضيقة عند إدخال فقرة عربية طويلة,سلبي
